--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  14. razonable            (Prob: 0.004438)
  15. atrocidad            (Prob: 0.004438)
  16. severa               (Prob: 0.004438)
  17. gimeír               (Prob: 0.004438)
  18. pronunciar           (Prob: 0.004438)
  19. vía                  (Prob: 0.004438)
  20. acompañar            (Prob: 0.004438)

==================== TEMA 14 ====================
  1. caso                 (Prob: 0.097820)
  2. niño                 (Prob: 0.083154)
  3. dirigir              (Prob: 0.039157)
  4. pequeño              (Prob: 0.034269)
  5. libro                (Prob: 0.024492)
  6. proporcionar         (Prob: 0.024492)
  7. encima               (Prob: 0.019603)
  8. destino              (Prob: 0.019603)
  9. trabajo              (Prob: 0.014715)
  10. traer                (Prob: 0.014715)
  11. simple               (Prob: 0.009826)
  12. veces                (Prob: 0.009826)
  13. inyección            (Prob: 0.009826)
  14. terminar             (Prob: 0.009826)
  15. imaginar             (Prob: 0.009826)
  16. durar                (Prob: 0.009826)
  17. proyecto             (Prob: 0.009826)
  18. turno                (Prob: 0.009826)
  19. jirón                (Prob: 0.004937)
  20. científico           (Prob: 0.004937)

==================== TEMA 15 ====================
  1. persona              (Prob: 0.148547)
  2. fuerte               (Prob: 0.053087)
  3. tratamiento          (Prob: 0.037176)
  4. animal               (Prob: 0.021266)
  5. policía              (Prob: 0.015963)
  6. establecer           (Prob: 0.015963)
  7. luchar               (Prob: 0.010660)
  8. occidental           (Prob: 0.010660)
  9. adulto               (Prob: 0.010660)
  10. metro                (Prob: 0.010660)
  11. peor                 (Prob: 0.010660)
  12. comprado             (Prob: 0.010660)
  13. adaptar él           (Prob: 0.010660)
  14. subir                (Prob: 0.005356)
  15. indicación           (Prob: 0.005356)
  16. vajna                (Prob: 0.005356)
  17. nuevo                (Prob: 0.005356)
  18. sumar                (Prob: 0.005356)
  19. atendido             (Prob: 0.005356)
  20. indiferente          (Prob: 0.005356)

==================== TEMA 16 ====================
  1. mes                  (Prob: 0.060636)
  2. pobre                (Prob: 0.060636)
  3. vez                  (Prob: 0.055975)
  4. camión               (Prob: 0.041993)
  5. según                (Prob: 0.037332)
  6. rapidez              (Prob: 0.028011)
  7. viena                (Prob: 0.023350)
  8. desaparecido         (Prob: 0.023350)
  9. tadek                (Prob: 0.014029)
  10. actualmente          (Prob: 0.014029)
  11. escapado             (Prob: 0.014029)
  12. paisano              (Prob: 0.009368)
  13. atrevíar             (Prob: 0.009368)
  14. trazado              (Prob: 0.009368)
  15. formación            (Prob: 0.009368)
  16. sardina              (Prob: 0.009368)
  17. pie                  (Prob: 0.009368)
  18. doce                 (Prob: 0.009368)
  19. actuar               (Prob: 0.009368)
  20. pintarno             (Prob: 0.004707)

==================== TEMA 17 ====================
  1. hospital             (Prob: 0.076087)
  2. padre                (Prob: 0.062668)
  3. jefe                 (Prob: 0.058195)
  4. allí                 (Prob: 0.049249)
  5. raro                 (Prob: 0.044775)
  6. encontrar            (Prob: 0.031356)
  7. cierto               (Prob: 0.026883)
  8. instalado            (Prob: 0.008991)
  9. exterminado          (Prob: 0.008991)
  10. distinto             (Prob: 0.008991)
  11. escén                (Prob: 0.008991)
  12. salí                 (Prob: 0.008991)
  13. romper               (Prob: 0.008991)
  14. rayos                (Prob: 0.008991)
  15. violento             (Prob: 0.008991)
  16. resistencio          (Prob: 0.008991)
  17. atrevido             (Prob: 0.004518)
  18. diferente            (Prob: 0.004518)
  19. objetos              (Prob: 0.004518)
  20. acompañado           (Prob: 0.004518)

==================== TEMA 18 ====================
  1. después              (Prob: 0.159455)
  2. buen                 (Prob: 0.063809)
  3. cautiverio           (Prob: 0.054700)
  4. querer               (Prob: 0.022818)
  5. quirúrgico           (Prob: 0.018264)
  6. él                   (Prob: 0.018264)
  7. forzar               (Prob: 0.013709)
  8. personalmente        (Prob: 0.013709)
  9. pagar                (Prob: 0.013709)
  10. tristeza             (Prob: 0.009155)
  11. bastante             (Prob: 0.009155)
  12. imaginar él          (Prob: 0.009155)
  13. limpio               (Prob: 0.009155)
  14. dentista             (Prob: 0.009155)
  15. tadek                (Prob: 0.009155)
  16. cuándo               (Prob: 0.004600)
  17. ampolleta            (Prob: 0.004600)
  18. tijera               (Prob: 0.004600)
  19. todavía              (Prob: 0.004600)
  20. folleto              (Prob: 0.004600)

==================== TEMA 19 ====================
  1. llevar               (Prob: 0.170677)
  2. este                 (Prob: 0.070047)
  3. mejor                (Prob: 0.056922)
  4. diente               (Prob: 0.030670)
